ORIGEN,280724,CH0001,CH0004,CH0006,CH0008,CH0009,CH0011,CH0012,CH0013,CH0017,CH0018,CH0019,CH0020,CH0023,CH0024,CH0025,CH0026,CH0027,CH0028,CH0029,CH0030,CH0031,CH0032,CH0034,CH0037,CH0038,CH0039,CH0041,CH0042,CH0043,CH0044,CH0045,CH0046,CH0047,CH0049,CH0050,CH0051,CH0052,CH0053,CH0054,CH0057,CH0059,CH0060,CH0061,CH0062,CH0063,CH0064,CH0065,CH0067,CH0068,CH0069,CH0070,CH0071,CH0072,CH0075,CH0076,CH0077,CH0079,CH0080,CH0081,CH0083,CH0084,CH0086,CH0087,CH0088,CH0089,CH0091,CH0092,CH0093,CH0094,CH0095,CH0096,CH0097,CH0098,CH0099,CH0100,CH0101,CH0102,CH0103,CH0104,CH0105,CH0106,CH0107,CH0109,CH0110,CH2669,,,,,CH0108
0540801,45.177,32.558,76.389,58.59,48.034,40.479,47.684,56.322,55.424,51.305,51.415,48.223,49.515,53.83,57.557,53.611,48.779,7.628,27.001,51.048,48.809,49.608,46.804,57.46,57.763,46.249,48.604,50.187,70.109,15.199,88.607,49.786,53.102,76.654,50.265,51.643,57.358,52.348,47.601,60.31,46.25,51.485,53.618,54.855,54.821,43.359,49.122,56.929,48.354,51.024,53.537,50.9,51.176,56.626,53.789,49.299,44.194,48.111,44.68,35.832,53.645,43.378,49.951,22.306,23.992,56.17,40.681,40.928,52.247,44.117,68.934,71.127,63.339,62.997,87.223,79.543,61.53,30.302,17.267,79.097,43.414,27.602,46.768,86.277,63.186,51.996,48.654,53.35,62.361,78.709,38.013
0550201,78.939,97.013,57.785,76.978,79.027,87.21,79.816,76.89,76.368,75.27,74.96,79.404,80.627,74.413,71.583,87.211,78.049,130.468,138.028,74.722,77.237,77.259,93.652,73.313,71.789,82.776,84.366,80.542,70.565,126.004,55.699,139.298,86.701,59.127,81.601,78.038,73.212,85.925,79.733,65.781,87.385,74.382,87.195,77.581,77.486,85.494,78.87,70.956,78.868,75.997,78.591,76.658,76.313,90.225,79.437,80.17,80.776,89.805,87.491,91.658,78.057,92.005,90.481,106.168,106.204,81.432,85.824,87.19,81.267,79.14,84.773,70.726,89.874,88.906,64.335,49.443,68.953,97.898,128.072,50.024,94.472,118.915,92.015,51.717,78.799,88.873,90.348,78.432,81.208,49.679,104.296
0550202,78.103,96.177,56.949,76.142,78.191,86.374,78.98,76.054,75.532,74.434,74.125,78.568,79.791,73.577,70.747,86.375,77.213,129.632,137.192,73.886,76.401,76.423,92.816,72.477,70.954,81.94,83.53,79.706,69.729,125.168,55.197,138.462,85.865,58.291,80.765,77.202,72.376,85.089,78.897,64.945,86.549,73.546,86.359,76.745,76.65,84.658,78.034,70.12,78.032,75.161,77.756,75.822,75.477,89.39,78.601,79.334,79.94,88.969,86.655,90.822,77.221,91.169,89.645,105.332,105.368,80.596,84.988,86.355,80.431,78.305,83.937,69.891,89.038,88.07,63.499,48.608,68.117,97.062,127.236,49.522,93.636,118.079,91.179,51.215,77.963,88.038,89.512,77.596,80.372,49.177,103.46
0550401,75.464,93.539,54.311,73.503,75.553,83.735,76.341,73.416,72.894,71.795,71.486,75.929,77.152,70.938,68.109,83.736,74.574,126.994,134.554,71.247,73.762,73.784,90.178,69.839,68.315,79.302,80.891,77.067,67.091,122.53,83.067,135.823,83.227,55.653,78.126,74.563,69.737,82.45,76.258,62.307,83.91,70.907,83.72,74.106,74.011,82.02,75.395,67.481,75.394,72.522,75.117,73.183,72.838,86.751,75.962,76.696,77.302,86.331,84.016,88.184,74.583,88.531,87.006,102.693,102.729,77.957,82.349,83.716,77.792,75.666,81.298,67.252,86.399,85.431,60.86,45.969,65.478,94.424,124.598,73.557,90.998,115.441,88.54,70.806,75.325,85.399,86.874,74.957,77.733,73.169,100.822
0550402,73.732,91.806,52.578,71.771,73.82,82.003,74.609,71.683,71.161,70.063,69.753,74.197,75.42,69.206,66.376,82.004,72.842,125.261,132.821,69.515,72.03,72.052,88.445,68.106,66.582,77.569,79.159,75.335,65.358,120.797,81.335,134.091,81.494,53.92,76.394,72.831,68.005,80.718,74.526,60.574,82.178,69.175,81.988,72.374,72.279,80.287,73.663,65.749,73.661,70.79,73.385,71.451,71.106,85.018,74.23,74.963,75.569,84.598,82.284,86.451,72.85,86.798,85.274,100.961,100.997,76.225,80.617,81.983,76.06,73.933,79.566,65.519,84.667,83.699,59.128,44.236,63.746,92.691,122.865,71.825,89.265,113.708,86.808,69.074,73.592,83.666,85.141,73.225,76.001,71.436,99.089
0550403,73.87,91.944,52.716,71.909,73.958,82.141,74.747,71.821,71.299,70.201,69.891,74.335,75.557,69.344,66.514,82.142,72.98,125.399,132.959,69.653,72.168,72.19,88.583,68.244,66.72,77.707,79.297,75.473,65.496,120.935,81.473,134.228,81.632,54.058,76.532,72.969,68.143,80.856,74.664,60.712,82.316,69.313,82.126,72.512,72.417,80.425,73.801,65.886,73.799,70.928,73.522,71.589,71.244,85.156,74.367,75.101,75.707,84.736,82.422,86.589,72.988,86.936,85.412,101.099,101.135,76.362,80.755,82.121,76.197,74.071,79.704,65.657,84.805,83.837,59.266,44.374,63.884,92.829,123.003,71.963,89.403,113.846,86.945,69.212,73.73,83.804,85.279,73.363,76.139,71.574,99.227
0550404,73.396,91.47,52.242,71.435,73.484,81.667,74.273,71.347,70.826,69.727,69.418,73.861,75.084,68.87,66.04,81.668,72.506,124.925,132.485,69.179,71.694,71.716,88.109,67.77,66.247,77.233,78.823,74.999,65.022,120.461,80.999,133.755,81.159,53.584,76.058,72.495,67.669,80.382,74.19,60.239,81.842,68.839,81.652,72.038,71.943,79.951,73.327,65.413,73.325,70.454,73.049,71.115,70.77,84.683,73.894,74.627,75.233,84.262,81.948,86.115,72.514,86.462,84.938,100.625,100.661,75.889,80.281,81.648,75.724,73.598,79.23,65.184,84.331,83.363,58.792,43.901,63.41,92.355,122.53,71.489,88.929,113.372,86.472,68.738,73.257,83.331,84.805,72.889,75.665,71.101,98.753
0560101,52.365,36.393,79.37,62.425,51.869,44.314,51.519,60.157,59.259,55.14,55.25,52.058,53.35,58.708,66.354,57.446,52.614,19.036,38.41,54.883,52.644,53.443,41.042,67.157,66.56,51.128,52.439,54.022,73.944,26.607,92.442,37.341,56.937,79.635,54.1,55.478,67.056,55.329,51.436,65.188,50.085,55.32,56.599,58.69,58.657,50.547,52.957,65.726,52.189,54.859,57.372,54.735,55.011,60.461,58.667,53.134,48.029,51.946,47.661,39.667,57.48,41.912,48.485,33.715,27.072,60.005,47.879,44.763,56.082,51.267,71.914,78.448,67.174,65.978,90.204,84.421,66.408,34.137,28.675,82.932,41.591,39.01,42.344,90.112,67.021,54.977,52.489,57.185,66.196,82.544,39.377
0570102,46.733,54.66,66.435,39.837,44.952,46.715,45.114,38.846,40.537,42.163,42.272,45.329,38.46,48.61,36.732,35.837,37.42,87.97,86.655,41.906,51.449,44.367,68.11,36.457,39.616,56.465,39.237,38.375,23.781,83.506,21.483,112.986,35.328,66.7,38.851,35.652,36.355,60.131,47.677,38.189,41.244,42.488,56.659,40.331,40.236,49.566,36.737,38.782,44.793,42.33,40.132,36.029,40.735,38.852,52.244,42.265,46.384,38.431,61.18,53.168,33.7,63.07,64.687,63.67,73.167,34.936,57.228,46.696,35.371,53.353,58.979,27.199,24.594,63.112,77.269,47.89,41.904,55.544,85.574,21.157,64.721,76.417,66.221,18.712,37.597,57.499,38.975,39.972,30.534,20.812,77.985
0570201,56.879,58.387,70.162,43.565,42.126,50.443,48.842,42.574,44.265,45.891,46.0,42.503,42.188,52.338,40.46,39.565,47.702,91.698,90.382,45.634,55.177,48.095,71.838,40.185,43.344,60.193,42.965,42.103,27.508,87.234,25.21,116.714,39.055,70.428,42.579,45.935,40.083,63.859,48.759,41.917,44.972,46.216,60.387,44.059,43.964,53.294,47.019,42.51,41.967,46.058,43.86,46.311,44.462,42.58,55.972,45.993,50.112,42.159,64.908,56.895,37.428,66.798,68.415,67.398,76.895,38.664,60.955,50.424,39.099,57.08,62.707,30.927,28.322,66.84,80.997,51.617,45.632,59.272,89.302,24.885,68.449,80.145,68.844,22.44,41.324,61.227,42.702,43.7,34.261,24.54,81.713
0570202,59.615,61.123,72.899,46.301,51.416,53.179,54.224,45.31,47.001,48.627,48.736,51.793,44.924,55.074,43.196,42.301,50.438,94.434,93.118,48.37,57.913,50.831,74.574,42.921,46.08,62.929,45.701,44.839,30.244,89.97,27.946,119.45,41.792,73.164,45.315,48.671,42.819,66.595,54.141,44.653,45.574,48.952,63.123,46.795,46.7,56.03,49.756,45.246,51.257,48.794,46.596,49.047,47.198,45.316,58.708,48.729,52.848,44.895,67.644,59.631,40.164,69.534,71.151,70.134,79.631,41.4,63.691,53.16,41.835,53.398,65.443,33.663,31.058,69.576,83.733,54.353,48.368,62.008,92.038,27.621,71.185,82.881,71.58,25.176,44.06,63.963,45.438,46.436,36.997,27.276,84.449
0570301,59.062,60.57,72.345,45.748,50.863,52.625,51.025,44.756,46.447,48.073,48.183,51.24,44.37,54.521,42.642,41.747,43.33,93.881,92.565,47.816,57.359,43.723,74.021,42.367,45.527,62.375,45.147,44.285,29.691,89.417,27.393,118.897,41.238,72.61,44.762,48.117,42.266,66.041,50.942,44.1,47.155,48.398,62.57,46.242,46.147,55.477,42.648,44.693,50.704,48.241,46.042,48.494,46.645,44.762,58.155,48.175,52.294,44.342,67.09,59.078,39.61,68.98,70.598,69.58,79.077,40.846,63.138,52.606,41.281,59.263,64.889,33.11,30.504,69.023,83.179,53.8,47.815,61.455,91.485,27.067,70.631,82.328,72.131,24.623,43.507,63.409,44.885,45.882,36.444,26.722,83.895
0590101,47.622,49.153,75.908,36.748,36.172,41.208,42.253,34.48,33.582,35.885,35.994,36.549,31.652,42.45,37.675,30.331,34.541,82.464,81.148,36.664,45.288,37.05,65.505,37.4,39.13,58.051,33.73,31.567,33.254,78.0,30.88,111.452,29.821,76.173,32.043,33.55,37.299,69.604,42.17,45.019,34.436,36.324,54.654,33.014,32.98,50.124,35.2,38.87,36.013,35.539,33.323,34.796,34.758,33.345,54.1,35.457,40.877,32.925,58.574,47.661,31.891,60.464,68.141,58.163,67.66,28.128,51.721,41.189,28.563,47.316,68.452,36.672,17.786,72.585,86.742,57.363,46.239,50.038,80.068,30.554,62.115,70.911,65.342,28.11,34.983,61.3,33.468,33.164,32.098,30.209,75.38
0600101,68.475,86.549,47.321,66.514,68.563,76.746,69.352,66.426,65.904,64.806,64.496,68.94,70.163,63.949,61.119,76.747,67.585,120.004,127.564,64.258,66.773,66.795,83.188,62.849,61.325,72.312,73.902,70.078,60.101,115.54,76.078,128.834,76.237,48.663,71.137,67.574,62.748,75.461,69.269,55.317,76.921,63.918,76.731,67.117,67.022,75.03,68.406,60.492,68.404,65.533,68.128,66.194,65.849,79.761,68.973,69.706,70.312,79.341,77.027,81.194,67.593,81.541,80.017,95.704,95.74,70.968,75.36,76.726,70.803,68.676,74.309,60.262,79.41,78.442,53.871,38.979,58.489,87.434,117.608,66.568,84.008,108.451,81.551,63.817,68.335,78.409,79.884,67.968,70.744,66.179,93.832
0600201,75.461,93.535,54.307,73.5,75.549,83.732,76.338,73.412,72.89,71.792,71.482,75.926,77.149,70.935,68.105,83.733,74.571,126.99,134.55,71.244,73.759,73.781,90.174,69.835,68.311,79.298,80.888,77.064,67.087,122.526,83.064,135.82,83.223,55.649,78.123,74.56,69.734,82.447,76.255,62.303,83.907,70.904,83.717,74.103,74.008,82.016,75.392,67.478,75.39,72.519,75.113,73.18,72.835,86.747,75.959,76.692,77.298,86.327,84.013,88.18,74.579,88.527,87.003,102.69,102.726,77.953,82.346,83.712,77.788,75.662,81.295,67.248,86.396,85.428,60.857,45.965,65.475,94.42,124.594,73.554,90.994,115.437,88.537,70.803,75.321,85.395,86.87,74.954,77.73,73.165,100.818
0610101,44.17,31.347,75.656,45.477,38.963,31.407,38.612,47.484,46.586,42.234,42.343,39.151,40.443,46.062,50.997,44.773,39.707,19.841,25.135,41.977,42.249,40.536,46.071,50.899,51.203,45.039,39.766,41.349,61.271,15.377,79.769,60.537,44.263,75.921,41.426,42.571,50.798,51.615,38.529,54.018,37.411,42.413,52.885,46.017,45.983,42.148,40.05,50.369,39.282,41.952,44.699,41.828,42.104,47.788,52.578,40.227,37.426,39.273,43.947,34.622,44.807,42.645,49.218,12.724,47.3,47.332,39.471,31.856,43.408,43.865,68.2,62.289,54.5,62.264,86.49,71.619,55.237,29.728,17.446,70.259,42.681,7.089,46.035,77.439,54.348,51.263,39.816,44.511,53.522,69.87,55.952
0610401,29.373,16.754,61.063,35.99,29.475,21.92,29.125,40.519,39.621,32.746,32.856,29.664,30.956,38.026,41.753,37.808,30.22,31.179,54.767,32.489,33.006,31.049,31.477,41.656,41.96,30.446,32.8,34.383,54.305,42.964,72.804,61.1,37.298,61.328,34.461,33.083,41.555,37.022,29.042,44.507,30.446,32.925,38.292,39.052,39.018,27.555,30.563,41.126,29.795,32.464,37.733,32.341,32.617,40.822,37.985,30.74,28.39,32.307,29.354,20.029,37.842,28.052,34.625,23.128,17.762,40.366,24.877,22.369,36.443,28.314,53.607,55.324,47.535,47.671,71.897,63.74,45.726,15.135,45.032,63.293,28.088,35.875,31.442,70.474,47.382,36.67,32.851,37.546,46.557,62.905,41.359
0610501,42.015,24.819,69.128,43.322,36.807,29.252,36.457,45.329,44.431,40.078,40.188,36.996,38.287,43.907,48.842,42.618,37.552,12.738,27.768,39.821,40.094,38.381,39.543,48.744,49.048,38.511,37.61,39.193,59.115,16.684,77.614,61.31,42.108,69.393,39.271,40.415,48.643,45.087,36.374,52.572,35.256,40.257,46.357,43.862,43.828,35.62,37.895,48.214,37.127,39.796,42.543,39.673,39.949,45.632,46.05,38.072,35.271,37.117,37.419,28.094,42.652,36.117,42.69,10.569,26.531,45.176,32.943,29.701,41.253,41.709,61.673,60.134,52.345,55.736,79.962,69.463,53.791,23.2,18.034,68.103,36.153,13.861,39.507,75.284,52.192,44.735,37.661,42.356,51.367,67.715,49.424
0610601,47.51,34.688,78.996,48.817,42.303,34.747,41.952,50.824,49.926,45.574,45.683,42.491,43.783,49.403,54.337,48.113,43.048,14.359,20.133,45.317,45.589,43.876,49.411,54.24,54.543,48.379,43.106,44.689,64.611,9.049,83.109,94.432,47.604,79.261,44.766,45.911,54.138,54.955,41.869,57.358,40.752,45.753,56.225,49.357,49.323,45.488,43.39,53.709,42.622,45.292,48.039,45.169,45.444,51.128,55.918,43.567,40.766,42.613,47.287,37.962,48.147,45.985,52.558,16.065,50.64,50.672,42.811,35.196,46.748,47.205,71.541,65.629,57.841,65.604,89.83,74.959,58.578,33.068,10.398,73.599,46.021,6.225,49.375,80.779,57.688,54.603,43.156,47.852,56.863,73.21,59.292
0610701,36.109,23.286,67.595,37.416,30.902,23.346,30.551,39.423,38.525,34.173,34.282,31.09,32.382,38.002,42.936,36.712,31.646,26.358,33.697,33.916,34.188,32.475,38.01,42.838,43.142,36.978,31.705,33.288,53.21,21.894,71.708,83.031,36.203,67.86,33.365,34.51,42.737,43.554,30.468,45.957,29.351,34.352,44.824,37.956,37.922,34.087,31.989,42.308,31.221,33.891,36.638,33.767,34.043,39.727,44.517,32.166,29.365,31.212,35.886,26.561,36.746,34.584,41.157,4.663,39.239,39.271,31.41,23.795,35.347,35.804,60.14,54.228,46.439,54.203,78.429,63.558,47.176,21.667,23.962,62.198,34.62,14.805,37.974,69.378,46.287,43.202,31.755,36.45,45.462,61.809,47.891
0610801,39.258,26.435,70.743,40.564,34.05,26.495,33.699,42.571,41.673,37.321,37.43,34.239,35.53,41.15,46.084,39.86,34.795,15.039,26.806,37.064,37.337,35.624,41.158,45.987,46.291,40.126,34.853,36.436,56.358,19.897,74.856,57.404,39.351,71.009,36.514,37.658,45.885,46.703,33.616,49.105,32.499,37.5,47.973,41.105,41.071,37.236,35.137,45.457,34.37,37.039,39.786,36.916,37.192,42.875,47.666,35.314,32.513,34.36,39.034,29.709,39.894,37.732,44.305,7.812,25.813,42.419,34.558,26.944,38.496,38.952,63.288,57.376,49.588,57.352,81.578,66.706,50.325,24.816,17.071,65.346,37.769,12.808,41.123,72.526,49.435,46.35,34.903,39.599,48.61,64.958,51.04
0610901,43.916,31.093,75.402,45.223,38.708,31.153,38.358,47.23,46.332,41.979,42.089,38.897,40.189,45.808,50.743,44.519,39.453,17.126,22.9,41.722,41.995,40.282,45.816,50.645,50.949,44.785,39.511,41.094,61.017,11.816,79.515,61.53,44.009,75.667,41.172,42.316,50.544,51.361,38.275,53.764,37.157,42.158,52.631,45.763,45.729,41.894,39.796,50.115,39.028,41.697,44.444,41.574,41.85,47.533,52.324,39.973,37.172,39.018,43.693,34.368,44.553,42.391,48.964,12.47,29.939,47.077,39.216,31.602,43.154,43.61,67.946,62.035,54.246,62.01,86.236,71.364,54.983,29.474,13.166,70.004,42.427,8.992,45.781,77.185,54.093,51.009,39.562,44.257,53.268,69.616,55.698
0611501,37.875,23.386,67.695,39.181,32.667,25.112,32.316,41.188,40.29,35.938,36.047,32.856,34.147,39.767,44.701,38.477,33.412,18.443,30.365,35.681,35.954,34.241,38.109,44.604,44.908,37.078,33.47,35.053,54.975,19.281,73.473,57.727,37.968,67.96,35.131,36.275,44.502,43.654,32.233,51.139,31.116,36.117,44.924,39.722,39.688,34.187,33.754,44.074,32.987,35.656,36.481,35.533,35.809,41.492,44.617,33.931,31.13,32.977,35.986,26.661,38.511,34.684,41.257,13.166,26.137,41.036,31.509,25.561,37.113,37.569,60.239,55.993,48.205,54.303,78.529,65.323,52.358,21.767,20.631,63.963,34.72,16.986,38.074,71.143,48.052,43.302,33.52,38.216,47.227,63.575,47.991
0611601,33.984,19.496,63.804,35.291,28.776,21.221,28.426,37.297,36.4,32.047,32.157,28.965,30.256,35.876,40.811,34.587,29.521,18.883,29.97,31.79,32.063,30.35,34.219,33.649,33.831,33.187,29.579,31.162,51.084,23.061,69.583,79.24,34.077,64.069,31.24,32.384,33.58,39.763,28.343,47.248,27.225,32.226,41.033,35.831,35.797,30.296,29.863,40.183,29.096,31.765,34.512,31.642,31.918,37.601,40.726,30.041,27.239,29.086,32.095,22.77,34.621,30.793,37.366,9.765,35.448,37.145,27.619,21.67,33.222,33.678,56.349,52.103,44.314,50.412,74.638,61.432,48.467,17.876,20.235,60.072,30.829,15.972,34.183,67.253,44.161,39.411,29.63,34.325,43.336,59.684,44.1
0611701,43.563,30.74,75.049,44.869,38.355,30.8,38.004,46.876,45.978,41.626,41.735,38.544,39.835,45.455,50.389,44.165,39.1,19.234,24.528,41.369,41.642,39.929,45.463,50.292,50.596,44.431,39.158,40.741,60.663,14.77,79.161,90.484,43.656,75.314,40.819,41.963,50.191,51.008,37.922,53.41,36.804,41.805,52.278,45.41,45.376,41.541,39.442,49.762,38.675,41.344,44.091,41.221,41.497,47.18,51.971,39.62,36.818,38.665,43.339,34.014,44.2,42.037,48.61,12.117,46.692,46.724,38.863,31.249,42.801,43.257,67.593,61.681,53.893,61.657,85.883,71.011,54.63,29.121,12.479,69.651,42.074,6.482,45.428,76.831,53.74,50.656,39.208,43.904,52.915,69.263,55.345
0612001,37.133,24.31,68.619,38.44,31.926,24.37,31.575,40.447,39.549,35.197,35.306,32.114,33.406,39.025,43.96,37.736,32.67,20.975,28.314,34.939,35.212,33.499,39.033,43.862,44.166,38.002,32.729,34.312,54.234,16.511,72.732,84.055,37.226,68.884,34.389,35.534,43.761,44.578,31.492,46.981,30.374,35.376,45.848,38.98,38.946,35.111,33.013,43.332,32.245,34.915,37.662,34.791,35.067,40.751,45.541,33.19,30.389,32.236,36.91,27.585,37.77,35.608,42.181,5.687,40.263,40.294,32.433,24.819,36.371,36.828,61.163,55.252,47.463,55.227,79.453,64.582,48.2,22.691,18.579,63.222,35.644,9.422,38.998,70.402,47.31,44.226,32.779,37.474,46.485,62.833,48.915
0612101,41.611,28.788,73.097,42.918,36.404,28.848,36.053,44.925,44.027,39.675,39.784,36.592,37.884,43.503,48.438,42.214,37.148,20.851,28.19,39.418,39.69,37.977,43.511,48.34,48.644,42.48,37.207,38.79,58.712,16.387,77.21,88.533,41.704,73.362,38.867,40.012,48.239,49.056,35.97,51.459,34.852,39.854,50.326,43.458,43.424,39.589,37.491,47.81,36.723,39.393,42.14,39.269,39.545,45.229,50.019,37.668,34.867,36.714,41.388,32.063,42.248,40.086,46.659,10.165,44.741,44.772,36.911,29.297,40.849,41.306,65.641,59.73,51.941,59.705,83.931,69.06,52.678,27.169,18.456,67.7,40.122,9.298,43.476,74.88,51.788,48.704,37.257,41.952,50.963,67.311,53.393
0620201,82.098,83.629,106.301,71.224,70.648,75.685,76.729,68.956,68.058,70.361,70.47,71.025,66.128,76.926,72.151,64.807,69.017,116.94,70.854,71.14,79.765,71.527,99.981,71.876,73.607,92.528,68.207,66.043,72.223,112.476,84.931,145.928,64.297,106.566,66.519,68.026,71.775,99.351,76.646,79.496,68.912,70.8,89.13,67.49,67.456,84.6,69.676,73.346,70.489,70.015,67.799,69.272,69.234,67.821,88.576,69.933,75.353,67.401,93.05,82.137,66.367,94.941,102.617,92.639,102.136,62.604,86.197,75.665,63.039,81.792,98.846,75.642,52.455,101.48,117.136,96.332,80.715,84.514,70.069,75.421,96.591,63.324,99.818,76.435,69.459,95.776,67.944,67.64,66.574,75.032,109.856
0620202,82.605,84.136,106.808,71.731,71.155,76.192,77.236,69.463,68.565,70.868,70.977,71.532,66.635,77.433,72.659,65.314,69.525,117.447,71.361,71.647,80.272,72.034,100.488,72.383,74.114,93.035,68.714,66.55,72.73,69.257,85.438,146.435,64.804,107.073,67.026,68.533,72.282,99.858,77.154,80.003,69.419,71.307,89.637,67.997,67.963,85.107,70.183,73.853,70.996,70.522,68.307,69.779,69.741,68.328,89.083,70.44,75.86,67.908,93.557,82.644,66.874,95.448,103.124,93.146,102.643,63.111,86.704,76.172,63.546,82.299,99.353,76.149,52.963,101.987,117.643,96.839,81.222,85.021,70.576,75.928,97.099,63.831,100.325,76.942,69.966,96.283,68.451,68.147,67.081,75.539,110.363
0620301,88.698,90.229,112.902,77.825,77.248,82.285,83.33,75.557,74.659,76.961,77.07,77.625,72.728,83.526,78.752,71.407,75.618,123.54,60.84,77.741,86.365,78.127,106.581,78.477,80.207,99.128,74.807,72.643,78.823,63.092,91.531,152.529,70.897,113.167,73.119,74.626,78.375,105.951,83.247,86.096,75.512,77.4,95.731,74.09,74.056,91.201,76.276,79.946,77.089,76.615,74.4,75.872,75.834,74.422,95.176,76.533,81.954,74.001,99.651,88.737,72.967,101.541,109.217,99.24,108.737,69.204,92.797,82.266,69.639,88.393,105.446,82.242,59.056,108.08,123.736,102.932,87.315,91.114,64.571,82.021,103.192,69.924,106.418,83.035,76.059,102.377,74.544,74.24,73.175,81.633,116.456
0620401,82.69,84.221,106.893,71.816,71.24,76.276,77.321,69.548,68.65,70.952,71.062,71.616,66.719,77.518,72.743,65.398,69.609,117.532,71.445,71.732,80.356,72.118,100.573,72.468,74.198,93.119,68.798,66.635,72.815,69.342,85.523,146.52,64.889,107.158,67.111,68.618,72.367,99.943,77.238,80.087,69.504,71.392,89.722,68.081,68.047,85.192,70.268,73.938,71.081,70.607,68.391,69.863,69.826,68.413,89.168,70.524,75.945,67.993,93.642,82.729,66.959,95.532,103.209,93.231,102.728,63.195,86.789,76.257,63.63,82.384,99.438,76.233,53.047,102.071,117.727,96.924,81.307,85.106,70.661,76.012,97.183,63.915,100.41,77.026,70.051,96.368,68.536,68.232,67.166,75.624,110.447
0620501,85.971,87.502,110.175,75.098,74.521,79.558,80.603,72.83,71.932,74.234,74.343,74.898,70.001,80.799,76.025,68.68,72.891,120.813,57.681,75.013,83.638,75.4,103.854,75.749,77.48,96.401,72.08,69.916,76.096,59.933,88.804,149.802,68.17,110.44,70.392,71.899,75.648,103.224,80.52,83.369,72.785,74.673,93.004,71.363,71.329,88.474,73.549,77.219,74.362,73.888,71.673,73.145,73.107,71.695,92.449,73.806,79.227,71.274,96.924,86.01,70.24,98.814,106.49,96.513,106.01,66.477,90.07,79.539,66.912,85.666,102.719,79.515,56.329,105.353,121.009,100.205,84.588,88.387,61.412,79.294,100.465,67.197,103.691,80.308,73.332,99.649,71.817,71.513,70.448,78.906,113.729
0620601,95.297,96.828,119.5,84.423,83.847,88.884,89.928,82.155,81.257,83.56,83.669,84.224,79.327,90.125,85.351,78.006,82.217,67.972,58.374,84.339,92.964,84.726,113.18,85.075,86.806,105.727,81.406,79.242,85.422,60.626,98.13,159.127,77.496,119.765,79.718,81.225,84.974,112.55,89.846,92.695,82.111,83.999,102.329,80.689,80.655,97.799,82.875,86.545,83.688,83.214,80.999,82.471,82.433,81.02,101.775,83.132,88.552,80.6,106.249,95.336,79.566,108.14,115.816,105.838,115.335,75.803,99.396,88.864,76.238,94.991,112.045,88.841,65.655,114.679,130.335,109.531,93.914,97.713,62.105,88.62,109.791,62.044,113.017,89.634,82.658,108.975,81.143,80.839,79.773,88.231,123.055
0630101,90.102,91.633,114.306,79.229,78.652,83.689,84.734,76.961,76.063,78.365,78.474,79.029,74.132,84.93,80.156,72.811,77.022,67.453,57.855,79.145,87.769,79.531,107.985,79.881,81.611,100.532,76.211,74.047,80.228,60.108,92.935,153.933,72.302,114.571,74.523,76.031,79.779,107.356,84.651,87.5,76.917,78.805,97.135,75.494,75.46,92.605,77.68,81.35,78.493,78.02,75.804,77.276,77.238,75.826,96.58,77.937,83.358,75.405,101.055,90.141,74.371,102.945,110.621,100.644,110.141,70.608,94.202,83.67,71.043,89.797,106.85,83.646,60.46,109.484,125.14,104.336,88.719,92.518,61.586,83.425,104.596,71.328,107.822,84.439,77.463,103.781,75.948,75.644,74.579,83.037,117.86
0630201,93.198,94.729,117.402,82.324,81.748,86.785,87.83,80.057,79.159,81.461,81.57,82.125,77.228,88.026,83.252,75.907,80.118,70.549,60.951,82.24,90.865,82.627,111.081,82.976,84.707,103.628,79.307,77.143,83.323,63.204,96.031,157.029,75.397,117.667,77.619,79.126,82.875,110.451,87.747,90.596,80.012,81.9,100.231,78.59,78.556,95.701,80.776,84.446,81.589,81.115,78.9,80.372,80.334,78.922,99.676,81.033,86.454,78.501,104.151,93.237,77.467,106.041,113.717,103.74,113.237,73.704,97.297,86.766,74.139,92.893,109.946,86.742,63.556,112.58,128.236,107.432,91.815,95.614,64.682,86.521,107.692,74.424,110.918,87.535,80.559,106.876,79.044,78.74,77.675,86.133,120.956
0630701,87.761,89.293,111.965,76.888,76.311,81.348,82.393,74.62,73.722,76.024,76.134,76.688,71.791,82.59,77.815,70.47,74.681,65.869,56.27,76.804,85.428,77.19,105.645,77.54,79.27,98.191,73.87,71.706,77.887,58.523,90.594,151.592,69.961,112.23,72.183,73.69,77.438,105.015,82.31,85.159,74.576,76.464,94.794,73.153,73.119,90.264,75.34,79.01,76.152,75.679,73.463,74.935,74.898,73.485,96.14,75.596,81.017,73.065,98.714,87.801,72.03,100.604,108.281,98.303,107.8,68.267,91.861,81.329,68.702,87.456,104.509,81.305,58.119,107.143,122.799,101.996,86.379,90.178,60.001,81.084,102.255,68.987,105.482,82.098,75.123,101.44,73.608,73.303,72.238,80.696,115.519
